i:      0, sim time:  0.000, wall time:  0 seconds, Δt:  0.0101, advective CFL: 0.00e+00, diffusive CFL: 1.43e-02
i:   1450, sim time:  20.083, wall time: 1.335 minutes, Δt:  0.0092, advective CFL: 5.00e-01, diffusive CFL: 1.30e-02
i:   1460, sim time:  20.175, wall time: 1.336 minutes, Δt:  0.0092, advective CFL: 5.09e-01, diffusive CFL: 1.30e-02
i:   1470, sim time:  20.267, wall time: 1.337 minutes, Δt:  0.0092, advective CFL: 5.18e-01, diffusive CFL: 1.30e-02
i:   1480, sim time:  20.359, wall time: 1.338 minutes, Δt:  0.0092, advective CFL: 5.30e-01, diffusive CFL: 1.30e-02
i:   1490, sim time:  20.451, wall time: 1.339 minutes, Δt:  0.0092, advective CFL: 5.35e-01, diffusive CFL: 1.30e-02
i:   1500, sim time:  20.543, wall time: 1.341 minutes, Δt:  0.0085, advective CFL: 5.00e-01, diffusive CFL: 1.20e-02
i:   1510, sim time:  20.628, wall time: 1.342 minutes, Δt:  0.0085, advective CFL: 5.05e-01, diffusive CFL: 1.20e-02
i:   1520, sim time:  20.713, wall time: 1.343 minutes, Δt:  0.0085, advective CFL: 5.06e-01, diffusive CFL: 1.20e-02
i:   1530, sim time:  20.797, wall time: 1.344 minutes, Δt:  0.0085, advective CFL: 5.06e-01, diffusive CFL: 1.20e-02
i:   1540, sim time:  20.882, wall time: 1.345 minutes, Δt:  0.0085, advective CFL: 5.11e-01, diffusive CFL: 1.20e-02
i:   1550, sim time:  20.967, wall time: 1.347 minutes, Δt:  0.0082, advective CFL: 5.00e-01, diffusive CFL: 1.17e-02
i:   1560, sim time:  21.049, wall time: 1.348 minutes, Δt:  0.0082, advective CFL: 5.01e-01, diffusive CFL: 1.17e-02
i:   1570, sim time:  21.132, wall time: 1.349 minutes, Δt:  0.0082, advective CFL: 5.05e-01, diffusive CFL: 1.17e-02
i:   1580, sim time:  21.214, wall time: 1.351 minutes, Δt:  0.0082, advective CFL: 5.22e-01, diffusive CFL: 1.17e-02
i:   1590, sim time:  21.297, wall time: 1.352 minutes, Δt:  0.0082, advective CFL: 5.38e-01, diffusive CFL: 1.17e-02
i:   1600, sim time:  21.379, wall time: 1.353 minutes, Δt:  0.0075, advective CFL: 5.00e-01, diffusive CFL: 1.06e-02
i:   1610, sim time:  21.454, wall time: 1.354 minutes, Δt:  0.0075, advective CFL: 5.11e-01, diffusive CFL: 1.06e-02
i:   1620, sim time:  21.529, wall time: 1.355 minutes, Δt:  0.0075, advective CFL: 5.18e-01, diffusive CFL: 1.06e-02
i:   1630, sim time:  21.604, wall time: 1.357 minutes, Δt:  0.0075, advective CFL: 5.26e-01, diffusive CFL: 1.06e-02
i:   1640, sim time:  21.679, wall time: 1.358 minutes, Δt:  0.0075, advective CFL: 5.29e-01, diffusive CFL: 1.06e-02
i:   1650, sim time:  21.754, wall time: 1.359 minutes, Δt:  0.0070, advective CFL: 5.00e-01, diffusive CFL: 9.97e-03
i:   1660, sim time:  21.824, wall time: 1.360 minutes, Δt:  0.0070, advective CFL: 5.00e-01, diffusive CFL: 9.97e-03
i:   1670, sim time:  21.895, wall time: 1.361 minutes, Δt:  0.0070, advective CFL: 4.97e-01, diffusive CFL: 9.97e-03
i:   1680, sim time:  21.965, wall time: 1.362 minutes, Δt:  0.0070, advective CFL: 4.99e-01, diffusive CFL: 9.97e-03
i:   1690, sim time:  22.035, wall time: 1.364 minutes, Δt:  0.0070, advective CFL: 5.05e-01, diffusive CFL: 9.97e-03
i:   1700, sim time:  22.106, wall time: 1.365 minutes, Δt:  0.0069, advective CFL: 5.00e-01, diffusive CFL: 9.79e-03
i:   1710, sim time:  22.175, wall time: 1.366 minutes, Δt:  0.0069, advective CFL: 5.04e-01, diffusive CFL: 9.79e-03
i:   1720, sim time:  22.244, wall time: 1.368 minutes, Δt:  0.0069, advective CFL: 5.06e-01, diffusive CFL: 9.79e-03
i:   1730, sim time:  22.313, wall time: 1.369 minutes, Δt:  0.0069, advective CFL: 5.07e-01, diffusive CFL: 9.79e-03
i:   1740, sim time:  22.382, wall time: 1.370 minutes, Δt:  0.0069, advective CFL: 5.09e-01, diffusive CFL: 9.79e-03
i:   1750, sim time:  22.451, wall time: 1.371 minutes, Δt:  0.0067, advective CFL: 5.00e-01, diffusive CFL: 9.51e-03
i:   1760, sim time:  22.518, wall time: 1.372 minutes, Δt:  0.0067, advective CFL: 5.04e-01, diffusive CFL: 9.51e-03
i:   1770, sim time:  22.586, wall time: 1.373 minutes, Δt:  0.0067, advective CFL: 5.05e-01, diffusive CFL: 9.51e-03
i:   1780, sim time:  22.653, wall time: 1.375 minutes, Δt:  0.0067, advective CFL: 5.02e-01, diffusive CFL: 9.51e-03
i:   1790, sim time:  22.720, wall time: 1.376 minutes, Δt:  0.0067, advective CFL: 4.97e-01, diffusive CFL: 9.51e-03
i:   1800, sim time:  22.787, wall time: 1.377 minutes, Δt:  0.0069, advective CFL: 5.00e-01, diffusive CFL: 9.78e-03
i:   1810, sim time:  22.856, wall time: 1.378 minutes, Δt:  0.0069, advective CFL: 4.84e-01, diffusive CFL: 9.78e-03
i:   1820, sim time:  22.925, wall time: 1.379 minutes, Δt:  0.0069, advective CFL: 4.78e-01, diffusive CFL: 9.78e-03
i:   1830, sim time:  22.994, wall time: 1.380 minutes, Δt:  0.0069, advective CFL: 4.74e-01, diffusive CFL: 9.78e-03
i:   1840, sim time:  23.062, wall time: 1.382 minutes, Δt:  0.0069, advective CFL: 4.74e-01, diffusive CFL: 9.78e-03
i:   1850, sim time:  23.131, wall time: 1.383 minutes, Δt:  0.0072, advective CFL: 5.00e-01, diffusive CFL: 1.02e-02
i:   1860, sim time:  23.203, wall time: 1.385 minutes, Δt:  0.0072, advective CFL: 5.04e-01, diffusive CFL: 1.02e-02
i:   1870, sim time:  23.275, wall time: 1.386 minutes, Δt:  0.0072, advective CFL: 5.07e-01, diffusive CFL: 1.02e-02
i:   1880, sim time:  23.348, wall time: 1.387 minutes, Δt:  0.0072, advective CFL: 5.10e-01, diffusive CFL: 1.02e-02
i:   1890, sim time:  23.420, wall time: 1.388 minutes, Δt:  0.0072, advective CFL: 5.12e-01, diffusive CFL: 1.02e-02
i:   1900, sim time:  23.492, wall time: 1.389 minutes, Δt:  0.0070, advective CFL: 5.00e-01, diffusive CFL: 9.93e-03
